id,name,review_count,rating,coordinates
_cixgajLGE90MwuimsMXQg,South Main Kitchen,382,4.0,"{'latitude': 34.075294, 'longitude': -84.294884}"
A5FRowRkzmHXx3_sC4DaEA,Campania,591,4.5,"{'latitude': 34.0930486577521, 'longitude': -84.2826213816147}"
_5BZegfGUxaj_Lbet3G4tA,Rickshaw Thai Street Food,38,4.0,"{'latitude': 34.06671, 'longitude': -84.31651}"
UlP5ZaoBhxmToMeQxNOo5A,Flatlands Bourbon And Bayou,483,4.5,"{'latitude': 34.0771777414258, 'longitude': -84.2951485917649}"
JWcBl8s9WaASh6bl0kkGwA,Coalition Food and Beverage,141,4.0,"{'latitude': 34.0759094755663, 'longitude': -84.296752}"
-Gi4UtFPN6b2zQ7PYKiXXQ,Colletta,379,4.0,"{'latitude': 34.0706691, 'longitude': -84.278951}"
tQIjTHv7AMuisOridO0cgQ,Revolving Sushi Factory,18,3.5,"{'latitude': 34.09269252536092, 'longitude': -84.28058889999998}"
_cI_95CLHIMd-eB0yjCfsw,UP on the Roof,59,3.0,"{'latitude': 34.07456, 'longitude': -84.29496}"
dY91B1pweeIlzADewm6OTQ,JINYA Ramen Bar - Alpharetta,233,4.5,"{'latitude': 34.074041472805526, 'longitude': -84.29405319070217}"
APtCtV3BZHHwrJAKwueGAg,Craft Burger by Shane,85,4.5,"{'latitude': 34.06989666016553, 'longitude': -84.28490371415559}"
VeltgSQfU0geU7AdERTv5A,Passador Brazilian Steakhouse,101,5.0,"{'latitude': 34.037248369151826, 'longitude': -84.30610476003099}"
ek2ef6pXTUCE-lrTxEBHgw,Hai,112,4.5,"{'latitude': 34.08765149999998, 'longitude': -84.2669093711644}"
639ymF9byrmByI3Jpx-bkg,The Nest Cafe,354,4.0,"{'latitude': 34.077098, 'longitude': -84.296763}"
etFXENcdHauT9h8WXE0rTg,Chiringa,131,4.0,"{'latitude': 34.074534, 'longitude': -84.294098}"
7ccVtNADjWh7CuG7gw8imw,Food Terminal - Alpharetta,24,4.5,"{'latitude': 34.04591, 'longitude': -84.29112}"
l3ntUpMdAC9Bmc-C3AjDDQ,Persian Basket Kitchen & Bar,166,4.5,"{'latitude': 34.045781, 'longitude': -84.2250928}"
zZPOQ0djdBW1-OmvyLRwwQ,Carson Kitchen,187,4.5,"{'latitude': 34.0754663927782, 'longitude': -84.2944991042055}"
uJ7EaBe7t5PfWTw63kV7rg,Local Expedition Wood Fired Grill,937,5.0,"{'latitude': 34.089366, 'longitude': -84.2749784}"
UHN8R-rSUqWHjueha1xZrw,Sugo Restaurant,439,4.5,"{'latitude': 34.032339, 'longitude': -84.185148}"
afY44MaDaVV9xM0bSZop_w,Lazy Dog Restaurant & Bar,529,4.0,"{'latitude': 33.979533, 'longitude': -84.21571961154547}"
OUXlNjdURA64nO2ccYlKkw,Dancing Skulls,16,4.5,"{'latitude': 34.02614597256095, 'longitude': -84.24993475819052}"
j99B3W4LqSPVxwPJpi02Gw,Great Sichuan,92,4.5,"{'latitude': 34.034458, 'longitude': -84.184873}"
1gpD_ZiuOiZJtyED6fbmHg,Trattoria one 41,221,4.0,"{'latitude': 34.020329, 'longitude': -84.189982}"
Mjdbo7db5yz6UNOCHP3JNw,Stäge Kitchen & Bar,91,4.5,"{'latitude': 33.97703, 'longitude': -84.21773}"
kvryDfHRvEFz47EjMlLlGQ,Hen Mother Cookhouse,634,4.5,"{'latitude': 34.06528, 'longitude': -84.21079}"
JmqtDYxrdJgbSaEHAKQT0w,Nara Cuisine & Lounge,60,4.5,"{'latitude': 34.01793891110353, 'longitude': -84.19092798432644}"
Vgl46CIbBkGtUKDsNplyVA,Local On North - Duluth,146,4.5,"{'latitude': 34.00329, 'longitude': -84.14425}"
mF0PgB7JgGmzxo4Zejs31w,Junoon Atlanta,5,4.5,"{'latitude': 34.0235, 'longitude': -84.1495}"
A5FRowRkzmHXx3_sC4DaEA,Campania,591,4.5,"{'latitude': 34.0930486577521, 'longitude': -84.2826213816147}"
nGcI_EoeXHnHX4T_Jl90xQ,Besties,71,5.0,"{'latitude': 34.091526, 'longitude': -84.206139}"
P8vcKwiSGGwedOPmuGbbBA,Falling Rabbit,85,4.5,"{'latitude': 34.003842, 'longitude': -84.145132}"
